uid,hotspot_0,hotspot_1,hotspot_2
10193,26,-1,-1
10202,26,23,-1
10203,26,13,-1
10205,26,-1,-1
10206,26,16,21
10210,26,-1,-1
10221,26,23,-1
10238,26,-1,-1
10239,26,-1,-1
10246,26,-1,-1
10268,26,-1,-1
10280,26,13,-1
10288,26,22,-1
10295,26,-1,-1
10300,26,-1,-1
10313,26,16,-1
10330,26,-1,-1
10339,26,0,13
10350,26,-1,-1
10357,26,-1,-1
10366,26,-1,-1
10375,26,-1,-1
10392,26,-1,-1
10394,26,-1,-1
10404,26,6,-1
10405,26,-1,-1
10408,26,-1,-1
10415,26,16,-1
10416,26,-1,-1
10427,26,-1,-1
10468,26,-1,-1
10471,26,-1,-1
10473,26,-1,-1
10487,26,-1,-1
10518,26,-1,-1
10523,26,-1,-1
10527,26,-1,-1
10530,26,-1,-1
10541,26,-1,-1
10543,26,-1,-1
10555,26,16,-1
10565,26,-1,-1
10590,26,-1,-1
10592,26,-1,-1
10593,26,-1,-1
10596,26,-1,-1
10612,26,-1,-1
10632,26,-1,-1
10637,26,-1,-1
10686,26,-1,-1
10688,26,-1,-1
10704,26,-1,-1
10705,26,13,-1
10736,26,-1,-1
10738,26,-1,-1
10739,26,-1,-1
10744,26,-1,-1
10753,26,-1,-1
10761,26,-1,-1
10776,26,-1,-1
10781,26,-1,-1
10789,26,-1,-1
10810,26,-1,-1
10824,26,-1,-1
10831,26,-1,-1
10843,26,-1,-1
10846,26,-1,-1
10862,26,-1,-1
10868,26,-1,-1
10873,26,-1,-1
10891,26,-1,-1
10892,26,-1,-1
10894,26,-1,-1
10896,26,16,22
10912,26,-1,-1
10933,26,-1,-1
10944,26,-1,-1
10949,26,-1,-1
10969,26,-1,-1
10974,26,-1,-1
10990,26,-1,-1
10996,26,-1,-1
11013,26,10,14
11040,26,-1,-1
11044,26,-1,-1
11050,26,-1,-1
11059,26,-1,-1
11082,26,-1,-1
11100,26,-1,-1
11107,26,20,23
11118,26,-1,-1
11125,26,-1,-1
11126,26,-1,-1
11130,26,-1,-1
11136,26,10,22
11167,26,-1,-1
11173,26,-1,-1
11228,26,-1,-1
11234,26,-1,-1
11243,26,-1,-1
11248,26,-1,-1
11253,26,-1,-1
11271,26,-1,-1
11273,26,-1,-1
11279,26,-1,-1
11281,26,25,13
11286,26,-1,-1
11290,26,-1,-1
11304,26,-1,-1
11314,26,-1,-1
11316,26,-1,-1
11344,26,-1,-1
11345,26,-1,-1
11373,26,13,-1
11379,26,-1,-1
11382,26,23,-1
11387,26,-1,-1
11401,26,-1,-1
11414,26,-1,-1
11423,26,-1,-1
11439,26,-1,-1
11449,26,-1,-1
11454,26,-1,-1
11464,26,-1,-1
11467,26,-1,-1
11475,26,-1,-1
11478,26,-1,-1
11480,26,13,-1
11486,26,-1,-1
11504,26,-1,-1
11517,26,-1,-1
11520,26,-1,-1
11529,26,-1,-1
11541,26,-1,-1
11555,26,-1,-1
11562,26,-1,-1
11587,26,-1,-1
11598,26,-1,-1
11610,26,-1,-1
11625,26,-1,-1
11636,26,-1,-1
11658,26,13,-1
11661,26,-1,-1
11662,26,-1,-1
11663,26,-1,-1
11670,26,-1,-1
11673,26,-1,-1
11675,26,-1,-1
11699,26,-1,-1
11706,26,-1,-1
11715,26,-1,-1
11728,26,-1,-1
11736,26,-1,-1
11755,26,-1,-1
11767,26,-1,-1
11768,26,-1,-1
11774,26,-1,-1
11777,26,-1,-1
11784,26,-1,-1
11795,26,-1,-1
11796,26,-1,-1
11798,26,-1,-1
11809,26,-1,-1
11819,26,-1,-1
11830,26,-1,-1
11839,26,-1,-1
11841,26,-1,-1
11850,26,-1,-1
11864,26,-1,-1
11873,26,-1,-1
11877,26,-1,-1
11880,26,13,12
11886,26,-1,-1
11887,26,13,-1
11890,26,-1,-1
11915,26,14,-1
11917,26,-1,-1
11919,26,-1,-1
11925,26,23,22
11938,13,26,-1
11944,26,-1,-1
11952,26,-1,-1
11958,26,-1,-1
11979,26,-1,-1
12000,26,-1,-1
12003,26,-1,-1
12011,26,-1,-1
12026,26,-1,-1
12056,26,-1,-1
12065,26,-1,-1
12081,26,-1,-1
12082,26,-1,-1
12096,26,-1,-1
12104,26,-1,-1
12120,26,-1,-1
12129,26,-1,-1
12132,26,-1,-1
12135,26,-1,-1
